off and on                              from time to time               время от времени
emphasize                               to stress, to underline         подчеркнуть
liberty                                 freedom                         свобода
compassion                              sympathy                        сочувствие, одобрение
peak                                    highest point                   наивысшая точка
playwriter                              dramatist                       драмматург
guidance                                advise and assistance           совет, одобрение
to enlist in the army                   to enroll in the army           зачислиться в армию
to secure smb smth                      to provide smb. with smth.      обеспечить кого-либо чем-либо
American fiction                        American literature             Американская литература
to be up against                        to have to face                 столкнуться
to endure galanthly                     to bear bravely                 храбро переносить
to support the traditional reputation   to uphold a traditional image   поддерживать традиционный образ
to be assigned to                       to be appointed to              быть назначенным
to influence smth
an influence on smth                                                    повлиять на
in all probability                                                      по всей вероятности
to suffer fits (pang) of remorse                                        угрызения совеси
to be awarded smth
assesment of                                                            оценка чего либо
to graduate from
to be in use
to toutch upon                                                          затрагивать
to be capable of                                                        быть способным сделать


to break though barriers of language        прорваться сквозь границы языка
persest                                     упорствовать
to be badly wounded                         быть тяжело раненым
to realize one's ambition                   реализовать свое стремление
expatriate                                  эмигрант
to profit from                              извлечь выгоду
to credit smb. with smth.                   наделять кого-либо чем-либо, приписывать кому-либо что-либо
moving study                                трогательный очерк
to pass on the experience                   передать (опыт)
catch                                       улов
reduce smth. to a skeleton                  оставить один скелет
to commite suicide                          совершить самоубийство
rugged life                                 тяжелая жизнь
to sweat smth. out                          вымучивать
therefore                                   следовательно
scolar                                      ученый
to be cracked under the strain              расколоться от напряжения
clairvoynce                                 ясновидение
on account of                               вследствие чего-либо
alienated                                   отчужденный
cocky                                       самоуверенный, нахальный
to wither                                   ослаблять
to part company with                        расстаться
to distrust                                 не доверять
to outline, to dash off                     набросать
protagonist, central character              главный герой
to go unnoticed by the public               пойти незамеченным
poignant circunstances                      сложные обстоятельства
epitome                                     воплощение
under the guidance of his father            под руководством своего отца
run of bad luck                             полоса неудач
oneness                                     единство
to try for smth. that is beyond attainment  стремиться к недостижимому
to be up against the problem                столкнуться с проблемой

expatriate  emigrant
oneness     unity
